Id,Title,CompanyName,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=78e99625e5de3c95,전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,"연봉 40,000,000원 - 100,000,000원","모델의 RTL IP 설계 및 IP 검증 가능자 - Language: 
Python/Perl, C/C++ [우대 조건] - ARM based SoC 설계... Linux, shell, tcl, 
python, perl 사용 원활..."
https://kr.indeed.com/viewjob?jk=8c833a4bed4e5070,[대형보험사] 클라우드 어플리케이션 아키텍트(AA),커리어라임즈,서울,,"Spring Boot, Java, 
Python, Kotlin, JPA... 및 운영 경험 우대- Git, Spring Boot, Java, 
Python, Kotlin, JPA, Redis, Lambda, API Gateway..."
https://kr.indeed.com/viewjob?jk=96f15da11ec756ae,Marketing Data Engineer,위대한상상,서울 서초구,,"모바일·게임>웹프로그래머>
Python|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python..."
https://kr.indeed.com/viewjob?jk=bb4128a4f1632e03,2021년도 하반기 비정규직 공개(),한국해양과학기술원 부설 선박해양플랜트연구소,대전 유성구,,"통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임... 통신·모바일·게임>웹프로그래머>
Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>빅데이터..."
https://kr.indeed.com/viewjob?jk=a36b547d3f9ccf46,"Graduate Analyst, Global Market",Société Générale,서울,,"propose new ideas Good coding skills (for example VBA... 
Python... plus Excellent command of English Application..."
https://kr.indeed.com/viewjob?jk=196dff83b79a0937,Marketing Data Analyst,위대한상상,서울 서초구,,"용해 원하는 데이터를 능숙하게 추출할 수 있는 능력을 보유하신 분• 
Python을 활용한 데이터 전처리/분석 능력을 보유하신 분• 논리적/분석적 사고... 통신·모바일·게임>웹프로그래머>
Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e,기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,,"6개월) (협의) *모집 절차: 서류 à인터뷰(오프라인) *지원 자격: 프로그래밍 언어 활용 능력: 
Python, C, C++ 중 1가지 이상 데이터구조, 알고리즘 과목 이수 머신러닝과 딥러닝의 기본 개념 이해 머신러닝..."
https://kr.indeed.com/viewjob?jk=28b343c3943a7dca,"웹개발, 백엔드 외 경력 정규직",핀후드,서울 성동구,"연봉 35,000,000원 - 40,000,000원","요건]경력사항: 경력(1년 이상 3년 이하)학력사항: 학력무관직무기술: 
Python, django 1 명 근무조건 고용형태: 정규직근무부서: 개발팀급... 로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>
Python"
https://kr.indeed.com/viewjob?jk=7fd391b9dd98c526,Data Scientist,컬리,서울 강남구,,"통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL"
https://kr.indeed.com/viewjob?jk=fa5ac3825b577cf6,Data Engineer & Scientist,LG전자,서울 영등포구,,"리즘에 대한 깊은 이해 - Data integrity, data governance 에 대한 이해 - 
Python Data & Analytics 라이브러리 경험 (NLTK, Spacy, Scikit-Learn, PyTorch..."
https://kr.indeed.com/viewjob?jk=d4ab154f531e9c8a,연구 개발 프로그래머 (키메이커팀),데브캣,서울 강남구,,"탐색, 실험합니다.- C#, 
Python, Javascript 등 다양한... 통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>웹프로그래머>
Python"
https://kr.indeed.com/viewjob?jk=f0fa048255eee14e,"인공지능(AI), 머신러닝(ML) 외 경력 정규직",시스메틱,서울 영등포구,,"모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어"
https://kr.indeed.com/viewjob?jk=1d0e51e2e431995b,[농심ENG] 신입/경력사원 정기채용,농심그룹,서울 신대방동,,"프로세싱 알고리즘 개발 경험자 - Open CV, Halcon, 
Python 사용자 - Vision SW 개발 경험자 - Deep Learning... Open CV, Halcon, 
Python 사용자 - Vision SW..."
https://kr.indeed.com/viewjob?jk=7abc40bcaebd62cd,[Audit] IA본부 시스템 데이터 분석 전문가 채용,삼정 KPMG,서울 강남구,,"이상의 유관 경력 - ERP 운영/개발 유경험자(SAP FI, MM, SD 모듈 추가 우대) - SQL, 
Python 등을 활용한 Big data 분석 유경험자 - 회계자격증(회계사-국내/해외, 공인내부감사사 등), IT관련..."
https://kr.indeed.com/viewjob?jk=2f56d4b70c1df086,하반기 인턴직 모집,한솔그룹,서울 을지로2가,,"지니어 (IT 인프라 관리/운영) 서버, 네트워크 Bash, Java, 
Python ① 학력 : 초대졸 이상 (2020년 2월 이후 졸업/졸업예정... JavaScript, VC++, 
Python) 한솔 PNS IT 부문..."
https://kr.indeed.com/viewjob?jk=29215464b7465a4d,[신사업부문] Test Engineer (테스트 엔지니어) 경력채용,한화그룹,서울,,"Appium 등 테스트 자동화 툴/프레임워크 사용 경험을 바탕으로 독립적인 환경구축을 진행 해 보신분 •
Python, Java, Node.js, Bash 등 테스트 자동화를 위한 개발 능력 •테스트 케이스 커버리지 확대를..."
https://kr.indeed.com/viewjob?jk=1aa299b7e2ed3100,대기업 딥러닝 기반 영상처리 개발자 (판교),인파트너스,서울,"연봉 60,000,000원 - 70,000,000원","Pytorch- 
Python, C/C++, Docker C/C++/C#... 머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>시스템프로그래머>임베디드(Embedded)"
